export concat,Title & Event

SLIP
Ute Kanngießer Series
https://www.cafeoto.co.uk/events/ute-kanngiesser-series-1/
Solo talk at Default Den Haag
Solo talk at https://defaultdenhaag.substack.com/p/default-den-haag-announcing-program-se3
"Kavain Wayne Space & XT "
"Kavain Wayne Space & XT "
Jaffa Mode at “Know how to now it’s that you’re learning the segments That aren’t sentences at all and converse with each other” *
https://www.notion.so/b23106fb6f98407480af2d467db1cd47?pvs=21 at https://ap-arts.be/en/node/4327 *
(untitled)
(untitled)
"""Akisakila"" / Attitudes… live"
"""Akisakila"" / Attitudes… live"
Deorlaf X
https://xxxxxxxxxttttttt.bandcamp.com/album/deorlaf-x
Palina'tufa
https://emptyeditions.bandcamp.com/album/ee004-palinatufa
9.8.18
https://www.cafeoto.co.uk/shop/xt-container-9818/
 speaking
"Drumming
Tender Interval Cafe OTO Residency
https://www.cafeoto.co.uk/archive/2016/08/30/tender-interval-paul-abbott/
Vagus
http://www.portaaaa.com/porta-11/
